"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,57206,61131,27.186,803.72,339.78,0.40572
400,58845,62098,21.054,477.38,394.21,0.095426
401,57422,61524,31.057,697.39,245.56,0.47917
401,57892,61608,33.511,528.58,209.04,0.4332
401,58177,60463,29.565,313.65,185.86,0.25582
401,59276,61973,27.737,278.27,226.02,0.1036
403,59084,61389,33.444,355.41,206.35,0.26536
406,59153,60726,31.369,471.69,365.91,0.12629
410,58143,61328,21.325,455.8,436.21,0.021965
414,57414,59899,31.649,363.82,218.09,0.25044
416,59180,61215,31.309,283.28,186.76,0.20534
416,59365,59445,31.593,262.91,219.13,0.090825
416,59507,60069,20.731,615.9,251.95,0.41937
416,59645,61981,13.227,593.07,154.25,0.58719
417,59632,61971,11.515,704.66,160.24,0.62946
418,58154,60494,28.883,554.02,331.36,0.25148
419,57222,60977,28.539,1164.8,833.13,0.166
419,59700,59973,29.695,394.74,265.54,0.19568
421,57730,61162,25.191,1192,361.92,0.53418
422,59870,60582,34.021,188.36,253.82,-0.14803
423,58855,61790,27.853,617.58,304.52,0.33951
424,58800,59516,28.329,702.81,314.04,0.38233
425,57217,61067,29.321,270.43,145.07,0.30172
426,58883,59578,21.857,838.75,473.76,0.27808
427,57709,60250,34.184,321.66,236.6,0.15237
427,59010,60239,27.479,640.72,312.16,0.3448
431,57336,60970,34.11,380.43,148.7,0.43795
432,58527,60390,33.434,260.83,170.26,0.21009
433,59629,60010,37.099,730.98,219.47,0.53817
434,59124,59680,22.884,1050.6,253.05,0.61177
435,59053,61771,24.595,828.83,290.14,0.48141
435,59309,61196,37.024,572.06,166.76,0.54858
438,59044,59346,36.85,687.41,426.92,0.23376
439,59624,60534,27.036,608.95,309.23,0.32642
440,59935,59665,11.6,2238.1,238.39,0.80748
441,59568,59454,12.2,2627.5,402.88,0.7341
442,58198,61767,31.352,222.67,133.03,0.25202
442,59570,59426,12.309,3392.2,285.34,0.84482
443,57987,61569,35.237,169.47,114.9,0.19188
443,59206,60463,27.088,1162,485.91,0.41028
443,59007,61068,32.603,604.51,437.92,0.15981
443,59800,59521,14.049,2435.7,428.45,0.70082
444,58436,60972,24.176,519.37,256.77,0.33833
444,59001,59409,13.579,3224.2,433.8,0.76282
446,58361,60692,29.984,263.36,206.47,0.12108
447,58981,59255,16.173,1713.5,450.3,0.58378
447,59670,59828,24.074,372.22,193.43,0.31607
448,59057,59267,34.476,494.82,251.12,0.3267
449,58348,59121,33.068,272.01,107.86,0.43213
449,59123,61852,34.09,330.55,152.78,0.36781
451,58140,62085,23.469,535.28,195.14,0.46567
452,59129,61340,31.378,387.4,261.5,0.19402
453,58763,61290,27.449,494.61,312.77,0.22522
453,59403,59674,36.389,217.95,170.49,0.12216
453,59758,61222,32.811,509.97,310.09,0.24374
453,60182,61372,24.315,945.2,655.15,0.18124
454,57918,61722,27.131,707.76,142.64,0.66454
455,57702,61645,33.761,984.38,379.96,0.44301
457,58629,61936,36.178,637.55,714.7,-0.057053
458,59644,61330,34.442,382.63,294.46,0.13022
461,59352,59932,31.942,379.12,473.15,-0.11033
462,57627,59319,37.864,574.08,290.18,0.32849
463,58196,60421,30.409,667.33,280.54,0.40805
465,58763,60725,34.95,292.7,180.14,0.23804
466,58980,61262,29.906,389.97,157.01,0.42592
466,59157,59674,35.059,389.39,382.74,0.0086115
466,59585,60684,32.433,949.85,544.29,0.27143
468,57337,60211,42.327,1393.5,643.42,0.36823
469,57932,60217,22.565,774.66,667.85,0.074045
469,59761,60424,33.681,464.45,382.28,0.097041
470,57976,60631,22.485,1067.9,736.67,0.18357
470,59140,61824,25.844,622.49,350.98,0.2789
470,59586,60311,38.681,529.36,478.42,0.050547
471,57973,61295,36.583,672.87,323.4,0.35078
471,58576,61975,23.636,270.39,272.63,-0.0041181
472,57390,61535,14.968,1302.2,596.02,0.37202
472,58015,60520,31.852,532.5,424.04,0.11339
473,59231,59428,31.947,570.42,317.79,0.28443
474,59779,62042,31.312,933.41,595.82,0.22076
476,58186,60665,30.662,1372.4,696.98,0.32638
476,58534,61355,27.405,799.56,254.24,0.51748
477,58410,60801,26.233,931.94,254.38,0.57114
478,58226,61022,16.287,1024.1,291.16,0.55727
480,58351,60583,22.891,793.88,284.08,0.47293
481,57858,60501,29.503,568.42,174.54,0.53014
481,59175,60989,29.451,460.67,258.97,0.28029
482,57722,60498,20.863,708.81,165.61,0.62121
482,59666,59485,29.934,458.13,290.39,0.22409
483,59551,59775,31.001,809.78,279.33,0.48705
484,57784,60649,21.977,634.87,446.12,0.17461
485,57829,60639,32.102,945.7,503.8,0.30486
485,58318,59471,38.011,399.82,235.21,0.25921
485,59364,59808,26.914,550.53,407.23,0.14961
486,57728,60254,20.825,1075.5,245.34,0.62851
486,58522,59342,36.24,581.72,163.3,0.56162
487,57615,60482,28.227,338.89,188.74,0.28457
487,58392,59378,26.33,289.28,176.66,0.2417
487,59738,60561,38.018,352.17,202.81,0.26914
488,58476,59158,23.944,693.5,261.98,0.45163
488,59007,61886,27.724,342.61,229.32,0.19808
489,59709,60566,28.257,476.04,205.07,0.39784
491,59021,59562,44.244,336.49,160.92,0.35296
494,58624,59605,26.291,384.63,185.77,0.34863
495,58596,59539,34.119,264.46,192.78,0.15676
498,59363,60729,36.417,536.01,455.56,0.08114
499,58667,60870,28.513,242.73,112.83,0.36532
499,59371,61815,35.222,847.82,528.72,0.23181
500,58489,60472,27.046,824.11,288.64,0.48122
500,59710,59839,18.2,861.22,497.36,0.26782
500,59789,60474,36.113,546.49,444.74,0.10264
501,59793,59886,28.148,163.07,466,-0.48156
502,59350,61814,33.639,537.3,269.62,0.33174
502,59676,60914,29.355,643.82,290.45,0.37823
502,60131,59751,37.886,169.7,107.57,0.22408
504,57377,60516,36.417,444.73,272.46,0.2402
505,59335,60809,27.221,608.97,252.88,0.41317
506,57609,61452,23.589,410.05,273.29,0.20013
506,58791,61380,27.357,390.75,249.81,0.22004
507,58906,59281,23.574,646.02,316.33,0.34258
512,59308,60995,32.911,351.44,157.6,0.38079
515,57640,61526,19.123,552,543.88,0.0074053
515,58231,59216,31.819,538.44,250.03,0.36578
515,60169,61238,19.204,1275.2,692.49,0.29613
517,58213,59491,31.328,546.41,236.33,0.39615
518,57891,62023,33.193,408.09,192.71,0.35848
518,58506,59384,33.593,385.53,163.61,0.40411
518,59916,61502,24.093,1212.8,620.07,0.32338
519,57670,61832,29.515,647.54,327.7,0.32797
519,58586,59370,33.624,439.43,584.13,-0.14137
519,59683,61431,37.471,651.88,510.53,0.1216
519,59840,61915,33.683,569.41,427.08,0.14283
520,57608,61507,25.186,674.56,505.63,0.14314
520,59325,61961,34.921,605.13,302.18,0.33389
521,59352,61814,36.826,665.8,278.42,0.41026
522,59309,61912,37.551,571.29,226.47,0.43223
523,57880,61540,20.635,626.16,478.19,0.13399
523,59841,60560,32.917,462.5,380.59,0.097163
524,57362,61252,31.814,891.25,774.78,0.069908
524,57761,61443,19.625,704.57,442.21,0.22878
525,57358,61164,31.753,842.95,657.33,0.12373
527,59525,60192,30.006,356.5,124.33,0.48287
528,59649,59243,39.994,548.67,336.39,0.23985
530,58167,59391,29.83,639.08,293.03,0.37125
530,58776,61075,27.425,493.82,297.78,0.24765
530,59747,61683,32.991,420.38,101.9,0.60979
531,58792,61079,34.532,907.98,244.95,0.57508
532,57201,61346,37.001,637.71,201.86,0.51914
533,59395,61081,36.175,362.59,492.32,-0.15175
535,57982,62046,32.124,337.58,316.56,0.032145
536,59334,59642,35.038,380.97,112.04,0.54549
539,58886,61245,24.696,342.98,127.74,0.45725
541,58706,60895,32.072,430.43,277.66,0.21576
544,57896,61651,19.1,857.99,496.23,0.26713
544,58980,61312,28.155,481.21,178.87,0.45804
544,60088,60764,36.443,1368.1,1040.4,0.13608
546,57260,60549,25.404,629.75,295.67,0.36101
548,59113,59498,31.294,439.36,369.67,0.086145
549,59119,59425,7.8523,1453,894.16,0.2381
550,58432,60522,24.637,523.81,194.9,0.45764
550,59093,59433,16.74,731.34,531.79,0.15798
551,58139,60645,22.405,732.24,688.08,0.031093
551,58625,59422,32.518,382.41,377.91,0.0059195
552,57449,60666,31.555,402.12,208.36,0.3174
553,60084,59442,24.847,421.57,366.67,0.069643
556,58580,61897,30.004,968.22,814.63,0.086147
557,60133,60249,30.465,300.2,179.55,0.25148
558,57520,60341,34.272,530.93,271.24,0.32374
558,58307,59166,30.615,413.42,204.28,0.33858
558,58505,61616,33.636,367.19,1109,-0.50252
561,59950,61740,32.673,351.99,235.76,0.19775
561,60054,61157,35.152,1103.7,500.45,0.37605
562,57702,60949,34.676,564.91,271.18,0.35131
563,57895,61159,32.89,551.93,138.98,0.59769
563,59603,61116,25.112,563.72,344.01,0.24204
565,59544,59514,24.197,510.43,296.9,0.26449
566,59271,59390,34.405,343.07,125.47,0.46441
566,59459,60758,34.139,366.17,303.04,0.094344
567,57689,60586,36.628,856.64,624.67,0.1566
567,58847,60678,23.996,1198.8,913.66,0.13497
568,57426,62003,27.46,313.18,165.38,0.30886
568,57806,60383,29.471,673.56,340.27,0.32875
569,58803,61942,20.174,669.92,608.83,0.047768
570,58746,61974,12.706,809.48,813.3,-0.0023523
571,58778,62015,11.238,1030.4,746.29,0.1599
571,59582,59142,27.196,279.58,130.4,0.36389
573,58551,59633,35.599,458.52,213.6,0.36439
573,58807,61301,32.317,336.46,197.07,0.26125
574,58240,60749,31.387,563.47,266.02,0.3586
580,57981,61341,16.092,1562.3,941.82,0.2478
580,58545,59984,26.381,917.12,682.08,0.14698
581,57996,61413,7.5593,2030.5,1072.6,0.30869
581,58625,60111,27.107,311.45,345.96,-0.052501
582,57886,61454,11.568,3296.2,2091.9,0.22352
583,57879,61424,24.906,537.49,313.82,0.26273
586,59493,59859,31.612,461.28,160.48,0.48379
587,59351,60877,20.619,855.47,354.24,0.41434
588,59427,60795,22.918,1246.8,894.29,0.16464
589,57956,59323,35.862,487.15,443.33,0.047096
590,59265,60633,27.768,473.25,330.27,0.17794
591,57453,61923,30.839,384.24,180.36,0.3611
591,58501,61797,33.624,695.36,567.53,0.10122
591,58858,60126,34.644,509.76,335.53,0.20612
592,57518,61922,9.9287,879.73,452.69,0.3205
594,58357,60202,35.265,334.8,197.67,0.25753
596,57788,59193,33.338,291.97,137.23,0.36054
601,58641,60383,18.693,733.96,323,0.38881
602,58397,60320,34.615,792.88,539.24,0.19041
603,58727,61865,30.235,462.7,419.7,0.048729
606,59719,60729,30.66,334.73,204.77,0.24089
607,57464,61508,18.664,549.92,270.46,0.34065
607,58050,62063,28.241,351.39,256.43,0.15624
609,57671,61617,28.64,418.99,235.05,0.28123
610,58704,60236,30.939,444.95,201.06,0.37754
610,60131,60696,33.855,398.08,311.62,0.12182
614,57518,61529,24.513,779,478.26,0.2392
616,59012,61616,30.664,728.58,527.63,0.15996
617,57912,59939,32.537,416.02,140.67,0.49463
618,58691,61048,36.378,355.52,325.08,0.044726
618,59699,59420,27.881,556.96,217.13,0.43901
619,58029,60639,32.085,320.73,246.39,0.13108
619,58718,60986,35.22,296.38,226.48,0.13369
621,59877,59815,37.731,424.97,337.96,0.11405
623,60037,60674,31.102,755.19,420.6,0.28457
625,59739,60809,24.295,577.44,281.42,0.34467
626,58371,62067,30.515,436.38,196.32,0.37942
627,59958,59913,33.283,287.85,163.77,0.27474
628,59650,61280,36.406,618.13,327.54,0.30728
630,58085,59731,24.284,352.99,257.75,0.15594
634,57935,60550,22.113,1045.5,588.51,0.27966
634,59598,60825,36.45,437.49,135.82,0.52619
635,57434,61540,13.371,747.27,322.87,0.39659
636,59039,61374,33.574,215.3,273.51,-0.11907
638,57573,61556,26.919,850.24,405.88,0.35376
638,58877,60975,18.632,959.93,243.75,0.59498
640,58858,60491,13.449,1476.1,117.23,0.85285
641,58761,60752,10.164,1631.6,267.26,0.7185
642,58824,60598,10.797,1381.7,235.16,0.70912
643,59564,60117,31.139,451.2,455.29,-0.0045181
644,59894,60157,34.345,745.26,850.5,-0.065946
645,57715,60337,32.738,607.41,339.25,0.28327
648,59309,59128,36.844,546.56,333.78,0.2417
648,59552,61444,15.074,1166.1,248.6,0.64855
649,59096,59452,22.14,1387.7,553.39,0.42982
651,57850,60377,35.017,265.11,244.33,0.040809
652,59479,62007,18.151,1072.2,178.72,0.71424
653,58036,60409,31.388,598.32,318.46,0.30526
654,58008,60707,33.988,307.35,213.99,0.17908
654,59286,59914,32.457,1295,665.35,0.32118
657,58701,61201,27.493,1436.5,566.89,0.43407
658,59440,60694,32.129,720.85,268.57,0.45712
660,59093,60448,26.933,466.23,330.15,0.17087
