"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,18181,60973,24.737,791.3,319.02,0.42535
402,17540,61479,35.005,513.73,935.36,-0.29096
403,15636,59394,38.456,720.95,843.5,-0.078332
417,16409,60286,36.204,526.81,255.06,0.34756
419,17813,60799,35.134,252.97,221.96,0.065297
422,15620,59476,31.765,513.51,316.34,0.23759
441,15902,60305,29.532,422.26,220.54,0.31381
443,16881,60866,33.479,410.91,268.99,0.20873
447,17255,61789,23.899,651.82,403.4,0.23542
454,16989,61407,34.281,268.07,320.24,-0.088676
455,17168,60132,38.537,705.42,492.16,0.17807
466,18103,61656,28.232,1003.6,762.88,0.13627
467,17734,61349,34.316,649.86,239.19,0.46192
471,15890,59758,32.211,449.65,187.38,0.4117
490,18262,61828,33.06,383.36,216.19,0.27883
494,17531,61821,28.945,760.26,280.81,0.46053
494,18176,60727,33.153,515.78,304.58,0.25744
504,16089,60619,29.014,876.93,581.02,0.20296
504,17207,59723,36.071,291.79,264.25,0.049531
510,18044,61558,30.043,296.74,136.5,0.36987
513,17993,61085,36.909,1112,620.19,0.28391
532,17309,61711,25.947,357.97,148.5,0.41358
542,15728,60742,34.951,1221,726.33,0.25403
555,16502,61385,35.1,433.3,201.7,0.36471
567,17568,60151,39.707,654.06,226.1,0.48623
572,17084,59390,31.215,1002.5,991.47,0.0055252
574,15544,61844,29.7,209.51,220.37,-0.02526
575,15759,61723,36.311,534.82,350.98,0.20753
576,18010,59727,35.1,426.41,216.64,0.32621
577,15418,60473,27.004,437.16,440.87,-0.0042173
600,16621,60577,26.865,712.36,326.72,0.37114
606,15867,61355,35.208,266.89,203.16,0.13557
606,17990,60974,29.943,764.93,714.86,0.033831
609,17436,60408,32.807,265.9,152.65,0.27057
631,16840,61006,27.642,728.46,661.52,0.048155
632,16692,60987,27.03,688.49,480.97,0.17744
633,16780,61062,27.315,647.53,483.54,0.14498
651,16835,60406,32.546,667.66,466.81,0.17705
656,15327,60757,34.398,282.22,430.2,-0.20772
672,15531,59500,29.073,530.26,374.3,0.17242
680,16861,60589,35.694,142.8,119.72,0.087934
685,17481,60341,32.104,289.44,208.91,0.16161
696,16954,60891,25.598,598.66,279.98,0.3627
706,16953,59507,32.755,399.65,219.8,0.29033
718,17650,61764,39.506,483.05,623.7,-0.12708
720,15864,60264,35.213,1188.9,738.99,0.23336
729,16698,61084,31.364,646.77,424.99,0.20693
736,17517,61440,31.071,1460.5,598.84,0.4184
741,16870,60818,24.154,416.25,270.6,0.21205
745,16330,60714,34.23,814.62,564.82,0.18109
753,17921,60009,38.218,648.83,395.86,0.24215
760,17083,61036,34.736,648.8,360.68,0.28542
761,18141,60266,26.115,489.96,132.31,0.57475
762,17998,60276,21.118,772.72,321.01,0.413
769,17939,60006,20.197,855.98,210.02,0.60596
773,15818,61813,35.649,300.63,122.53,0.42086
773,17722,60036,24.193,472.79,167.26,0.47736
774,17828,60091,25.882,821.27,218.48,0.57975
776,17850,59935,33.313,622.91,251.34,0.42502
777,17771,59928,20.936,648.63,263.6,0.42207
778,17908,60018,26.788,757.37,448.5,0.25614
779,18012,59949,27.683,925.48,473.14,0.32342
782,17964,60006,20.71,529.63,132.71,0.59926
783,18017,60058,32.917,1264.2,586.24,0.36638
787,17920,59728,29.036,202.93,201.83,0.0027083
790,16992,61362,29.253,554.54,198.41,0.47297
791,16967,61390,33.238,1076.4,875.11,0.10316
814,16701,60880,24.734,1234.2,1104.2,0.055601
822,15674,59753,26.431,1111.1,827.24,0.14642
828,17445,61762,26.927,1408.7,708.99,0.33041
841,16612,60252,30.756,392.67,239.58,0.24213
847,16270,60555,32.627,926.9,663.97,0.16528
863,17232,60739,30.626,973.5,482.1,0.33759
865,17960,60052,26.911,1393.5,1436,-0.01501
868,17532,60735,34.247,462.89,197.63,0.40159
870,16294,59439,30.44,768.58,393.79,0.32244
881,18184,59034,35.514,224.89,107.91,0.35153
884,17710,61808,32.505,741.54,243.79,0.50516
891,18036,61075,32.962,923.59,860.54,0.035338
892,17097,61796,32.261,536.24,381.69,0.16837
903,16110,60206,22.765,1286.6,849.42,0.20467
911,16494,61092,34.835,715.13,264.8,0.45956
937,16800,60783,21.101,1479.7,786.68,0.30578
941,17284,59325,34,287.18,192.4,0.19764
942,16315,60808,25.623,277.35,392.03,-0.17132
943,16334,60780,28.605,652.99,801.72,-0.10224
944,16296,60791,31.175,493.28,790.36,-0.23144
945,16299,60833,28.847,456.82,1100,-0.41314
955,16128,59559,36.977,713.44,426.83,0.25135
959,15908,60485,25.858,1760.2,1009.5,0.27102
969,15673,59741,25.324,903.31,493.43,0.29346
970,15600,59326,25.818,277.13,200.32,0.16087
970,18046,60142,33.404,880.39,740.12,0.086561
990,15986,61011,29.182,855.45,490.86,0.27081
996,16646,60698,25.902,506.07,275.19,0.29553
998,16789,60403,33.706,665.83,510.3,0.13224
1005,17528,61517,37.842,344.28,391.05,-0.063603
1010,17609,59701,33.407,230.56,125.89,0.29366
1013,16730,58889,37.652,398.78,307.01,0.13003
1017,18033,61645,32.553,771.04,839.33,-0.042408
1035,15486,59893,33.825,769.37,371.32,0.34895
1037,17023,61577,28.859,686.79,466.69,0.19081
1043,17763,61841,19.918,1019.6,129.93,0.77394
1057,15934,58935,28.125,422.38,512.35,-0.096251
