"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
401,2466.3,83454,30.998,418.2,127.83,0.5318
402,1582.4,82926,23.862,1176.6,807.38,0.18611
402,2561,83116,20.973,883.57,706.52,0.11134
404,1906.9,82887,34.096,294.33,192.24,0.20982
410,1688.2,81889,28.007,870.65,464.13,0.30456
414,563.66,81908,30.458,1379.7,808.67,0.26093
414,2201.5,83072,33.475,217.14,161.93,0.14563
414,3371,83447,30.599,294.77,109.18,0.45944
426,3092.3,83762,30.277,607.6,641.67,-0.027268
427,2996.5,82825,35.852,332.03,187.97,0.27703
427,2941.4,83805,25.05,388.88,273.18,0.17476
429,2844.4,84634,32.456,551.76,360.8,0.20926
432,2295.4,83187,31.244,695.95,307.03,0.38777
432,2444.9,84665,24.507,790.08,569.51,0.16223
433,2347.5,84587,33.732,368.59,262.06,0.16892
433,2608.3,83138,25.136,468,190.53,0.42136
438,2965.9,84566,22.734,1423.6,400.27,0.56109
439,3292.1,82066,31.175,820.61,314.6,0.44574
444,1449.6,81791,37.691,325.93,223.72,0.18595
448,564.05,82157,25.129,641,292.86,0.37279
452,2265.5,83443,32.223,340.42,145.83,0.40018
455,2387.4,82955,30.17,677.08,482.81,0.16749
459,3388.1,83505,30.348,425.72,224.63,0.3092
460,2740.4,82100,33.133,511.84,235.81,0.36921
460,3053,83242,33.732,632.9,361.81,0.27253
465,535.19,82888,28.965,428.56,239.5,0.28299
471,1408.2,82522,33.552,337.99,199.3,0.25812
472,2011.2,83472,37.595,1220.3,832.51,0.1889
472,3202.5,82160,33.381,383.46,252.53,0.20588
473,1919.6,83684,32.283,920.59,630,0.18741
475,2900.6,83849,31.348,527.23,406.04,0.12985
477,1928.6,82817,33.83,369.93,185.38,0.33233
481,1109.1,81891,34.131,546.28,263.04,0.34997
482,922.53,82645,29.262,661.17,254.78,0.44368
482,2905,84720,30.258,624.13,708.31,-0.063177
482,3205.4,83640,22.481,991.32,439.59,0.38558
483,1508,81966,31.094,327.79,328.66,-0.00133
484,1554.3,81849,35.78,206.41,174.34,0.084226
491,456.57,82422,26.708,602.28,340.32,0.27791
493,1610.5,82655,33.922,414.38,502.83,-0.096433
502,2514.7,82632,31.067,220.22,152.93,0.18032
505,1463.9,81843,31.523,403.77,344.43,0.079308
507,1273,83749,36.243,416.06,300.99,0.16047
508,2180.4,82764,29.456,400.3,367.14,0.043212
509,2254.2,82999,30.73,658.28,783.06,-0.086568
511,1249.4,82559,28.702,510.42,415.19,0.10287
514,2561.4,82183,34.533,335.09,145.66,0.39402
516,867.39,83933,37.369,251.21,109.75,0.39192
516,3171.1,83636,28.716,279.79,149.65,0.30305
517,2350.5,82480,37.623,465.95,320.63,0.18475
518,3070,83787,23.045,882.07,274.06,0.52591
522,1221.3,82446,31.177,414.85,200.75,0.34778
527,781.86,81979,28.933,579.53,257.69,0.38441
528,1284.8,81840,17.352,2142.8,1322.2,0.23683
529,1310.7,81835,17.839,1078.7,976.79,0.049561
538,711.96,82369,36.358,307.94,217.85,0.17133
538,2716.9,84009,27.981,593.7,329.16,0.28666
541,3136.2,83178,32.886,1202.3,737.04,0.2399
542,789.64,82167,24.368,449.81,314.98,0.1763
543,1545.7,82501,32.417,477.91,319.96,0.19795
544,2179,84273,34.349,563.22,473.3,0.086744
545,3413.4,82382,35.143,404.39,174.06,0.39818
547,1704.9,81964,25.294,435.39,238.65,0.29188
553,448.59,82125,32.517,278.36,109.55,0.43516
554,966.15,83273,33.949,454.49,869.21,-0.31331
557,1303.1,83223,43.161,719.99,942.77,-0.13398
558,1189,83303,35.092,718.89,643.23,0.055544
559,754.76,82757,29.231,492.32,274.92,0.28335
563,3096.8,83251,19.575,1946.2,1089.4,0.28223
564,3237.5,83174,36.555,264.07,182.43,0.18282
573,477.49,82907,36.223,435.31,229.48,0.30961
574,2329.3,82271,30.454,273.52,195.76,0.1657
579,2722.7,83485,32.98,706.03,548.55,0.12552
584,1030.5,82773,28.153,706.89,467.65,0.20368
587,2608.5,83225,30.626,1626.4,1085,0.19969
587,2675.3,83225,27.013,1379.8,916.43,0.20178
588,1918.9,84126,30.318,565.46,234.5,0.41371
588,2879.7,83026,34.237,427,221.09,0.31772
592,3076.1,83945,23.467,686.69,761.22,-0.051477
600,1537.3,82962,34.726,336.24,430.48,-0.12291
601,1090,82851,33.714,934.33,413.18,0.38676
601,1529.4,83957,27.876,482.52,300.4,0.23261
603,2077.4,84279,31.551,247.23,173.84,0.1743
617,2108.8,84362,36.91,1047.8,371.54,0.47645
619,2990.4,82948,19.818,884.81,644.03,0.15749
620,2585.1,84388,32.58,493.84,156.35,0.51908
621,3151.6,84492,27.54,727.2,125.87,0.7049
623,2744.4,82122,38.964,633.85,563.26,0.058973
623,2971.7,84579,32.854,708.76,349.63,0.33932
625,2199.2,82990,17.762,1578.9,1036.7,0.2073
633,3010.2,82207,30.227,298.3,126.87,0.40319
634,1388.3,82242,33.408,460.59,312.62,0.19137
635,3224.1,83150,36.67,334.96,217.69,0.21219
636,2760.4,81971,35.971,358.3,270.42,0.13978
640,2211.2,83580,29.429,340.57,180.63,0.30688
643,2472,82028,36.335,557.6,312.56,0.2816
648,2665.8,83315,27.672,1428.1,981.71,0.18525
648,3361.2,84005,30.301,1071.3,721.69,0.19497
649,2272.9,84127,38.307,445.72,255.73,0.27085
653,2394.9,83081,30.589,326.21,120.34,0.46101
657,1942.8,84256,27.93,826.76,299.15,0.46861
