"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,9680,47845,20.534,378.4,319.99,0.083639
400,10926,47348,32.375,443.71,207.86,0.36198
403,10970,46849,30.066,319.06,256.51,0.10867
404,10181,47867,25.889,987.6,578.37,0.26133
405,10378,48005,19.666,518.29,230.84,0.38371
405,10676,49096,29.17,455.86,349.81,0.13163
406,9220.7,48591,20.98,722.48,374.22,0.31755
406,9426,49328,23.561,356.28,205.87,0.26756
406,10523,47949,17.156,753.21,494.17,0.20767
408,10622,48003,17.684,706.02,430.14,0.24281
409,9343.8,48649,20.45,567.33,277.24,0.34347
409,10260,47037,26.928,419.31,199.41,0.35541
409,10782,48097,14.663,644.91,360.63,0.28271
410,9366.3,48726,24.743,594.43,121.31,0.66102
411,9369.2,48596,26.965,1005,529.44,0.30991
411,9800.5,48498,26.728,431.16,174.35,0.42412
411,10955,48308,25.053,258.36,153.11,0.25579
412,9352.8,48688,22.934,855.14,467.87,0.29272
412,11012,48347,23.486,404.99,176.21,0.39365
413,10881,48635,34.072,227.24,230.86,-0.0078807
414,10818,48662,24.35,402.85,156.03,0.44163
414,11535,48270,17.303,514.99,178.34,0.48556
415,9806.6,47241,27.311,871.76,962.08,-0.04925
415,10930,48567,29.753,387.09,293.42,0.13764
415,11660,48120,30.813,388.05,217.12,0.28245
416,10553,47336,23.123,719.9,223.47,0.52623
419,10772,48252,25.682,380.41,230.14,0.24612
420,10439,47305,26.044,391.15,291.07,0.14671
420,10705,48276,25.34,404.24,319.63,0.11689
421,10288,46835,18.738,602.34,199.64,0.50212
421,10715,48155,28.061,322.96,440.23,-0.15365
422,10621,48163,26.103,288.16,192.6,0.19877
422,11544,46882,27.779,621.81,394.57,0.22358
423,10103,48890,21.915,867.52,281.54,0.50997
423,11183,48110,26.031,515.33,259.05,0.33095
424,10274,49008,23.06,802.47,261.01,0.50914
424,10533,47481,20.335,840.04,600.17,0.16655
424,11192,48153,23.753,501.64,176.61,0.47922
424,11463,46802,28.354,483.95,191.5,0.43296
425,10461,47441,27.476,736.05,471.72,0.21886
426,10071,47742,33.158,438.97,243.84,0.28577
426,10906,46848,25.61,1141.4,813.15,0.16796
427,10985,46819,31.006,531.15,389.21,0.15423
428,10875,48564,28.095,206.5,183.31,0.059496
428,11033,46853,31.982,400.1,249.17,0.23245
429,9455.4,48658,35.42,261.05,163.27,0.23044
429,10016,46903,22.371,670.31,312.52,0.36404
431,10877,48621,30.671,351.59,364.38,-0.017864
432,9323.7,49263,29.451,301.65,289.39,0.020758
439,9489.6,48758,29.006,687.51,360.82,0.31162
441,10789,46960,24.241,347.18,260.21,0.1432
442,9348.8,49338,26.477,792,351.66,0.38502
442,9463,46688,36.907,312.67,140.31,0.3805
442,11261,49385,30.501,612.23,398.87,0.21102
443,9439.2,49252,30.394,515.42,414.76,0.10821
443,10741,47810,21.553,474.22,384.87,0.104
444,9552.6,49370,18.878,620.06,461.59,0.14651
444,10881,47775,9.0909,788.65,762.49,0.016861
445,10854,47753,12.361,591.48,746.07,-0.11558
446,8676.1,48106,27.626,545.07,114.71,0.65228
446,9699.7,46663,35.608,381.65,197.84,0.31718
446,11341,47230,26.288,450.19,285.15,0.22445
447,9398.2,49250,25.974,371.96,192.77,0.31729
448,10501,48739,29.208,558.96,243.8,0.3926
449,9931.9,47549,26.175,1087.2,598.07,0.29022
449,9859.1,48805,31.374,486.2,201.47,0.41406
449,10846,47981,14.925,919.86,504.22,0.29186
450,10447,47980,23.97,796.15,513.87,0.21548
450,10911,47989,16.026,974.11,771.31,0.11619
451,9671.5,48926,31.433,1090.9,730.84,0.19765
453,8769.8,48804,27.76,487.21,271.75,0.28388
455,9681,48280,22.134,1038.3,584.48,0.27967
456,9362.8,49333,11.093,1695.4,1007.4,0.25453
456,11307,47583,30.543,251.54,242.8,0.017664
457,9310.5,49386,20.529,496.41,309.02,0.23266
457,11356,47438,23.835,636.09,411.14,0.2148
460,9482.5,48439,22.238,684.52,229.7,0.49749
460,10454,49084,38.987,879.04,369.49,0.40812
460,10858,47805,12.887,556.77,450.42,0.10559
461,9092.3,47106,21.636,437.25,180.27,0.41615
461,9513.3,48500,32.538,243.99,124.03,0.32594
461,10882,48523,19.245,527.15,383.84,0.15731
462,9134.6,47178,37.048,270.07,186.62,0.18272
462,11247,46916,35.684,318.77,114.69,0.47083
463,11391,46874,28.806,708.29,189.57,0.57774
464,11426,47178,33.508,870.44,607.21,0.17814
465,9428.8,46969,26.984,762,184.93,0.60942
466,10882,47316,23.22,478.81,408.6,0.079124
468,11608,48263,16.357,636.9,277.59,0.3929
469,10739,46734,19.912,474.24,212.32,0.38149
470,9253.9,46912,34.673,463.58,213.34,0.36967
471,9166.3,46921,25.25,450.69,190.66,0.40545
472,9025.5,47071,28.076,456,375.99,0.096171
473,9415.9,48703,30.992,406.34,187.23,0.36912
473,10938,49252,26.065,619.46,415,0.19765
473,11415,47278,19.365,738.03,394.39,0.30346
474,10235,46532,25.113,568.86,354.28,0.23245
474,10941,46980,31.384,237.86,165.66,0.17892
476,10360,46469,29.639,672.82,397.81,0.25686
476,11329,49376,34.749,324.74,178.93,0.2895
477,9793.8,47421,29.346,305.68,164.11,0.30135
477,11101,47329,33.52,336.42,178.98,0.30547
478,8691.7,47581,21.932,1031.5,790.73,0.13213
478,11440,47226,30.99,594.61,374.71,0.22686
479,10783,46615,22.044,754.21,333.01,0.38742
480,11041,49184,23.86,651.82,325.77,0.33352
481,9055.4,46414,34.855,205.07,264.65,-0.12686
481,10390,48755,19.373,1055.8,1030.5,0.012111
481,11064,49153,16.457,1340.2,864.09,0.21598
481,11243,46587,25.554,651.42,115.15,0.69957
482,10503,48880,18.01,985.09,795.76,0.10631
482,11063,46582,25.534,522.43,280.67,0.30103
483,10980,46421,21.593,982.72,782.77,0.11326
484,10060,47095,29.503,321.9,171.4,0.30508
484,10399,49044,30.397,397.32,169.83,0.40111
485,11005,46708,30.796,342.27,126.8,0.45937
486,9277.8,48419,23.937,279.97,164.19,0.26067
