"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,51662,82325,38.12,215.78,138.64,0.21764
404,52332,82713,27.375,347.27,217.45,0.22989
404,52597,83342,30.6,209.59,139.81,0.1997
405,52459,82659,34.756,398.39,330.64,0.092929
406,52708,84497,25.523,332.19,228.11,0.18576
408,53177,82024,30.962,326.75,226.8,0.18056
409,52874,83841,38.115,538.11,330.77,0.23862
410,52291,84329,33.035,974.3,749.33,0.13052
412,51557,84057,37.154,951.74,543.19,0.27329
413,51286,84093,29.688,595.52,421.67,0.17091
413,51425,82622,31.747,486.43,314.57,0.21455
413,51566,84299,33.576,1010.6,618.84,0.24041
413,52170,84588,37.487,517.55,305.62,0.25746
413,53555,81907,28.099,311.55,281.52,0.050636
414,51198,84255,25.682,1766.4,1100.3,0.23237
414,51935,82645,32.726,387.42,341.54,0.062941
415,52202,82706,21.479,874.58,481.34,0.29002
416,51539,84086,30.053,440.95,255.8,0.26574
416,52387,84540,30.381,528.64,429.42,0.10357
417,51735,84108,27.885,673.34,409.92,0.24317
421,50897,83825,36.749,654.49,417.27,0.22134
421,51558,84210,27.853,231.57,130.99,0.27744
421,51683,82845,35.091,337.32,253.97,0.14096
422,51994,82857,29.435,655.59,561.34,0.077452
423,51964,82649,26.08,331.12,213.68,0.21557
423,52139,84420,24.381,630.32,492.04,0.1232
425,52020,82721,23.339,399.19,312.52,0.12178
425,52417,83859,27.815,494.9,278.63,0.27959
426,52038,82691,16.348,374.02,229.92,0.23861
432,53428,84495,34.597,388.14,220.24,0.27598
433,53144,82992,31.664,336.89,195.92,0.26459
438,51899,82046,37.699,191.94,203.21,-0.028509
438,53245,82339,34.046,469.65,161.98,0.4871
439,51698,82725,33.607,510.81,211.18,0.415
439,52223,84619,31.584,224.58,158.13,0.17362
440,51523,84169,32.719,230.85,146.56,0.22335
442,52117,83412,32.75,355.63,267.33,0.14173
446,51253,82362,37.145,423.72,354.67,0.088719
448,52724,82748,21.371,228.48,152.49,0.19945
449,52702,82671,37.188,277.48,293.4,-0.027877
450,52727,82631,30.109,274.72,217.95,0.11523
452,50976,83978,27.677,313.88,209.87,0.19859
452,53031,82080,35.484,438.3,210.82,0.35044
454,50894,84017,37.77,387.92,284.96,0.15302
456,53271,81631,27.314,374.14,259.28,0.18134
458,52026,82041,27.325,681.2,323.04,0.35665
460,51921,83067,28.153,545.34,350.11,0.21803
460,53026,82895,29.029,346.04,166.42,0.35051
461,52889,82421,35.461,226.85,274.29,-0.094671
462,51706,82896,36.395,366.67,217.58,0.25519
462,53543,83484,31.308,495.89,253.77,0.32297
463,52847,82501,27.708,348.43,379.61,-0.042827
463,53414,83581,25.145,792.03,509.53,0.21705
464,51343,84604,38.455,362.18,269.72,0.14632
