"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
400,34636,62775,30.706,396.33,303.6,0.13247
402,35287,63536,20.239,611.63,371.6,0.24413
402,35755,62606,22.203,789.36,369.97,0.36175
403,33583,62997,19.966,293.49,122.2,0.41207
403,35278,63455,19.981,892.18,435.63,0.34384
404,33778,63197,33.317,241.77,521.82,-0.36676
404,34873,62726,20.089,455.74,255.96,0.28072
404,35233,63694,29.589,804.57,614.67,0.1338
405,33887,62703,35.087,525.39,294.63,0.28141
405,33930,63183,9.3515,887.32,399.92,0.37864
405,34886,62727,14.004,1228.5,702.2,0.27261
406,35312,63429,27.752,763.92,184.81,0.6104
407,33218,62866,33.953,571.7,435.2,0.13557
407,33349,64444,25.852,593.74,164.91,0.56526
407,34149,63194,14.211,1123.6,568.37,0.32816
407,35217,63475,18.796,1258.2,483.53,0.44476
408,33906,63177,19.086,1236.6,908.49,0.15296
408,35260,63348,21.404,1534.6,1242.7,0.10509
408,35309,64011,25.057,1121.1,823.43,0.1531
409,35274,63507,15.394,1413.9,810.55,0.27124
410,33697,64574,20.036,1000,619.95,0.23462
410,35161,63975,19.405,436.34,269.37,0.2366
411,33780,64596,30.323,1406.2,628.19,0.38243
411,33919,63166,16.042,742.91,295.74,0.43053
412,33795,63010,15.391,1243.5,762.34,0.23986
413,33883,62961,16.098,596.94,379.17,0.2231
413,35342,63734,27.621,449.06,184.11,0.41845
413,35823,63306,30.04,678.58,487.28,0.16409
414,33921,62649,20.05,742.27,669.35,0.051657
414,35301,64155,35.395,601.85,247.71,0.41686
417,34336,63446,24.213,368.95,165.48,0.38072
417,34864,62682,23.89,477.11,208.84,0.39108
419,34094,62179,31.958,320.58,278.83,0.069662
421,33475,62965,20.072,649.37,455.9,0.17505
421,34680,64783,30.813,579.46,441.31,0.13534
421,35845,62434,32.095,331.85,190.53,0.27052
422,36174,62945,23.375,291.97,139.65,0.3529
423,34328,62618,31.134,318.58,143.61,0.37857
425,33234,62894,25.773,377.19,263.28,0.17784
426,33505,63024,28.285,1250.7,851.3,0.19
427,35341,63495,13.384,1259.8,556.36,0.38734
429,34309,62751,21.192,571.83,322.2,0.27922
430,33765,62863,18.303,1497.7,873.6,0.26319
435,34058,62548,22.915,354.65,115.38,0.50903
436,34448,62661,30.147,597.98,400.02,0.19836
437,34901,62521,29.805,463.02,201.34,0.39389
441,33401,62734,30.295,237.31,146.72,0.2359
442,33900,64021,29.64,646,407.62,0.22624
442,35385,63923,20.8,852.52,490.51,0.26955
443,34360,62424,25.66,1111.8,776.28,0.17772
443,35256,64012,21.267,1029.9,552.41,0.30179
444,33793,63158,32.365,763.52,728.91,0.023189
444,34366,62580,12.274,768.45,553.76,0.16237
444,34410,64638,22.24,842.48,457.54,0.2961
445,33666,63819,28.896,416.92,201.23,0.34891
445,34506,64594,30.321,260.95,107.94,0.41478
446,34085,64375,30.373,422.15,225.79,0.30305
446,34317,63628,33.071,415.89,153.44,0.461
