"frame","x [nm]","y [nm]","precision [nm]","green photons","red photons","GP"
411,47525,28664,35.06,429.9,370.07,0.074784
412,49306,29877,31.668,732.55,212.45,0.55037
413,47509,28036,38.143,448.2,126.46,0.55989
414,49063,28471,37.53,249.75,111.08,0.3843
423,48404,28849,32.937,612.54,237.12,0.44186
424,47048,29406,31.578,304.2,201.87,0.20221
433,47454,27222,34.936,1376.3,1071,0.12473
438,49022,28430,28.984,246.19,291.97,-0.085077
439,48864,28510,28.632,265.99,181.25,0.18948
443,48976,28982,36.659,211,240.59,-0.065508
461,46758,28063,28.648,1054.6,244.51,0.62358
483,46958,27907,41.389,583.97,176.61,0.5356
484,48631,29242,37.369,682.89,251.71,0.46135
487,48850,28765,29.371,412.94,400.54,0.015239
495,47918,29051,36.067,537.31,196.1,0.46523
507,47896,27622,39.735,329.91,173.58,0.3105
508,46738,28232,37.166,606.23,346.1,0.27315
508,47492,28925,37.742,877.91,941.14,-0.034757
509,46864,27169,33.032,288.5,259.53,0.052872
533,47662,27771,34.995,542.09,136.9,0.59676
545,48211,27779,34.216,888.33,648.56,0.15601
545,48391,27889,39.712,956.27,723,0.13891
554,47848,28980,37.752,905.61,626.08,0.18249
554,48383,29346,34.944,1351.5,750.03,0.28622
558,48371,29044,36.022,454.54,462.63,-0.0088177
560,46638,27777,32.353,321.91,164.77,0.32289
561,47295,29652,34.974,471.12,255.8,0.2962
565,49279,29412,33.381,862.91,475.25,0.28969
586,49426,29353,27.102,532.75,297.46,0.28341
590,47564,28456,36.826,643.01,307.99,0.35228
592,46883,27207,31.956,221.84,123.97,0.283
593,47660,29105,35.172,720.48,547.6,0.13633
599,49345,29478,27.284,2134.5,1054.4,0.33873
601,47857,29439,28.018,326.88,187.33,0.27139
608,49405,29357,36.119,876.51,285.94,0.50804
616,49543,29359,33.831,523.27,271.08,0.31747
617,47448,27707,31.92,498.43,380.76,0.13384
621,47329,28750,35.653,350.03,188.53,0.29986
629,47102,28511,31.345,526.88,200.25,0.44921
631,47024,28696,33.147,650.97,491.8,0.13928
653,47475,27355,33.477,191.04,138.56,0.15922
683,46927,29276,37.55,325.92,251.7,0.1285
689,49226,29759,31.919,765.15,425.43,0.28533
695,47745,28349,25.187,864.4,559.58,0.21407
697,48878,28616,31.579,553.68,460.47,0.09191
701,47623,28442,34.602,218.96,161.64,0.15059
709,47545,28294,29.25,259.71,117.71,0.37623
712,48436,27028,31.512,202.17,137.47,0.19052
714,49554,28724,36.43,462.45,284.67,0.23795
715,49299,28061,32.741,332.25,196.93,0.25572
719,48501,28779,28.896,306.58,128.47,0.40941
729,47720,29427,27.061,584.86,264.62,0.37699
730,47616,28232,41.058,402.79,408.34,-0.006836
730,47943,29372,19.34,751.19,230.48,0.53043
733,46859,27689,31.646,500.06,350.15,0.17633
741,47556,28390,26.358,288.83,102.69,0.47543
741,49089,27078,32.407,452.64,208.13,0.37003
746,47508,28335,33.918,328.19,138.66,0.40597
747,47569,28348,32.078,1104.2,747.31,0.19276
750,47692,29031,34.749,482.46,324.88,0.19518
759,47451,28349,34.581,133.04,258.36,-0.32017
764,47529,28368,37.689,538.06,338.95,0.22703
767,47575,28378,33.459,222.95,113.36,0.32586
772,47988,29454,32.195,630.58,586.76,0.035993
774,47454,28377,26.229,1003.6,350.15,0.48271
776,48307,28538,37.165,483.72,350.3,0.15997
777,49214,29442,23.624,567.02,503.9,0.058944
778,49190,29388,25.759,930.72,959.02,-0.014973
782,46637,28329,29.838,987.86,545.76,0.28828
783,46689,28393,20.864,1053.7,508.57,0.34892
783,48185,27137,34.585,586.1,608.37,-0.018648
787,49360,28336,33.303,295.01,126.59,0.39947
789,49524,27409,29.284,237.09,111.56,0.36003
790,48686,27407,37.531,240.8,149.86,0.23278
791,47320,29833,25.915,1116.9,623.08,0.2838
797,49158,27163,41.566,1108.4,719.02,0.21309
801,47149,28788,30.518,527.41,178.62,0.49403
802,46978,28690,33.109,1072.5,336.9,0.52194
803,46695,27897,44.728,871.9,681.8,0.12235
803,46917,28531,32.742,939.73,398,0.40496
807,46878,29107,38.4,1178.6,967.41,0.09842
807,48513,27628,32.805,707.12,677.07,0.021712
808,48947,29810,31.99,387.46,452.27,-0.077188
809,48842,29843,26.432,1111.1,522.42,0.36039
811,46974,27568,35.946,210.1,106.69,0.32645
811,48371,29347,32.186,469.97,372.04,0.11631
826,47497,29928,35.841,238.38,148.72,0.23161
827,48614,28373,33.487,733.19,365.78,0.33432
828,47735,28639,37.381,763.98,423.52,0.2867
844,49019,27689,25.044,247.56,139.7,0.27852
847,46729,29069,31.34,590.58,272.22,0.36899
850,49364,27815,28.934,963.98,414.2,0.39891
876,47280,29035,32.758,801.94,695.22,0.071283
885,48151,28927,28.5,678.6,258.4,0.44846
888,49208,29807,26.188,950.72,550.62,0.2665
889,48312,29169,37.396,600.65,370.1,0.2375
891,46967,27819,35.486,241.37,252.65,-0.022818
894,49022,29438,28.131,318.5,118.3,0.45832
896,47733,29277,28.678,513.83,247.52,0.34978
907,48500,29153,29.29,486.31,340.74,0.17602
908,47475,29430,33.948,440.86,127.21,0.55213
909,47683,28573,33.535,586.29,158.07,0.57529
922,47874,27898,32,360.64,366.01,-0.0073942
928,46926,27565,35.439,513.07,227.79,0.38506
930,47371,28181,33.561,227.1,149.25,0.20686
932,49529,27078,31.737,922.32,424.29,0.36984
935,49294,28982,32.103,313.98,154.77,0.33965
946,48209,28521,31.695,304.85,180.75,0.25556
949,48879,29897,27.312,1490.1,1092.7,0.15389
954,48616,29753,31.588,674.23,369.04,0.29254
955,47108,29495,33.785,404.74,146.19,0.4693
956,46983,29369,34.879,529.65,349.02,0.20556
958,48480,29043,28.935,450.81,195.5,0.39503
964,47890,27874,36.029,684.23,533.61,0.12368
968,49076,28997,38.744,1108.3,727.75,0.20725
972,46682,29797,28.933,379.21,260.54,0.18549
983,49527,29907,34.776,579.09,440.1,0.13637
984,47300,29370,32.616,574.59,274,0.35423
994,49141,29907,28.754,351.4,207.4,0.25771
999,47643,28454,30.217,769.13,319.57,0.41293
1002,48336,28885,24.02,280.15,212.26,0.13787
1045,47112,27756,30.973,155.81,153.58,0.0072281
1062,48769,27743,28.637,700.16,604.97,0.072938
1064,47256,28534,30.946,438.92,397.57,0.049426
1069,48295,28719,33.367,1006.2,670.22,0.20041
1070,48490,28714,31.922,352.53,264.13,0.14337
1071,48929,28598,24.2,415.37,222.03,0.30332
1077,49404,29829,34.253,784.33,278.3,0.4762
1077,49582,28937,31.319,819.07,773.67,0.028501
1084,48443,28488,32.824,428.28,250.13,0.2626
1093,49219,29466,35.389,327.01,228.16,0.17805
1114,49200,28419,32.024,268.75,115.59,0.39849
1117,49464,27076,31.957,1031.8,682.37,0.20386
1134,47514,29860,40.274,1069.3,480.05,0.38032
1134,49470,27676,36.047,544.02,741.78,-0.1538
1136,48048,29889,32.67,384.63,211.71,0.28998
1144,47224,29919,27.037,407.24,229.79,0.27856
1165,49152,29695,34.716,874.09,484.6,0.28667
1166,47742,28010,31.601,1324.2,826.05,0.23168
1170,46795,29498,34.981,362.81,257.96,0.16891
1171,48314,29430,35.349,571.72,393.59,0.18454
1172,48497,29828,31.669,499.88,356.52,0.16739
1179,47887,28009,33.175,553.78,417.25,0.1406
1182,48654,28801,33.199,271.39,153.2,0.27837
1184,48606,28750,32.276,1029.4,433.05,0.40779
1188,47519,27689,35.915,341.37,168.49,0.33907
1189,47477,28652,28.863,1258.7,796.64,0.22483
1193,49511,28082,38.795,802.69,351.08,0.39142
1207,48312,29086,37.455,407.86,253.22,0.23391
1214,49367,27872,34.28,454.25,305.26,0.19616
1216,48272,29493,36.666,627.04,404.73,0.21547
1218,48664,27779,30.278,508.39,344.78,0.19177
1219,48416,28748,37.347,409.56,170.06,0.4132
1221,47834,29562,27.089,1021.9,568.14,0.2854
1225,47364,29053,31.782,818.62,424.12,0.31744
1225,48289,27768,24.652,249.48,105.79,0.40447
1236,49601,27290,37.158,1122.8,856.29,0.13465
1237,46859,28368,39.021,380.7,129.26,0.49307
1238,48063,29029,32.876,737.09,253.48,0.48822
1247,48570,27415,32.773,186.91,127,0.19085
1250,47879,29383,37.379,735.33,636.87,0.07175
1252,49136,28696,37.251,736.28,329.87,0.3812
1256,49132,27007,26.558,763.8,627.65,0.097848
1260,48221,29628,34.057,235.47,145.47,0.23627
1261,46750,29152,35.746,400.54,192.64,0.35049
1262,48793,29875,28.966,393.38,224.81,0.2727
1277,49036,27738,31.712,659.42,527.31,0.11133
1281,47248,27671,26.647,752.91,691.81,0.042289
1285,49298,29463,38.901,864.76,627.71,0.15883
1290,47344,27683,31.33,411.06,239.49,0.26373
1292,49250,28643,34.242,699.41,325.5,0.36482
1300,49095,27636,37.923,527.07,292.58,0.28609
1301,46652,27100,35.304,237.9,122.79,0.31913
1304,49563,29852,34.292,610.5,277.53,0.37495
1305,49560,29862,23.979,806.3,582.89,0.16082
1309,48369,29005,32.937,396.76,300.5,0.13806
1321,47837,27725,31.529,1185.2,1131.5,0.023192
1322,46675,27970,41.083,669.73,408,0.24285
1326,47216,28872,31.072,653.22,862.06,-0.13783
1327,47979,27580,34.563,356.33,329.55,0.039047
1333,48852,28603,35.448,723.32,517.9,0.1655
1333,49092,29820,34.21,422.69,316.42,0.14378
1335,49198,28301,33.158,563.89,281.49,0.33406
1336,49467,28452,36.206,549.58,464.92,0.083443
1342,49427,29595,30.455,561.11,495.95,0.061645
1351,49500,27113,30.839,993.29,427.73,0.39799
1352,49478,29687,36.391,509.37,629.72,-0.10565
1353,49476,29746,36.074,956.82,725.72,0.13735
1358,48296,28645,35.803,1244.2,946.74,0.13576
1380,47386,28594,32.768,596.05,165.66,0.56502
1385,46722,29147,38.417,444.39,301.33,0.19185
1385,47607,28342,33.023,622.77,266.42,0.40076
1385,48363,29633,37.29,578.99,403.81,0.17825
1390,48076,28739,36.937,522.17,273.95,0.31179
1393,49483,28249,34.235,460.77,272.81,0.25622
1395,49500,28457,36.82,768.92,390.73,0.32613
1396,49599,28600,34.389,875.17,651.66,0.14638
1398,47251,29965,33.755,495.46,276.27,0.28402
1398,48857,28858,35.111,1398.5,1095.9,0.12133
1400,49416,29645,29.737,692.84,288.9,0.41145
1402,48612,27580,36.865,232.36,150.77,0.21296
1417,48293,29428,30.084,546.13,540.93,0.0047879
1418,49549,27479,33.474,525.37,267.46,0.32529
1420,49500,27272,30.346,789.52,131.74,0.71401
1428,48596,28516,33.288,698.92,388.65,0.28529
1431,47572,28587,38.292,688.15,303.31,0.38815
1431,47812,28750,33.768,740.57,260.67,0.47931
1440,49396,28995,32.751,393,223.94,0.27403
1442,48973,27940,32.1,274.03,214.05,0.1229
1445,48521,27692,36.127,401.77,428.68,-0.032405
1452,48581,27918,29.588,289.74,141.13,0.34491
1452,49576,29899,30.595,915.8,359.84,0.43584
1456,49395,29801,33.764,592.49,448.76,0.13804
1464,48804,29385,29.719,469.21,329.43,0.17502
1465,49441,27570,30.063,751.69,498.83,0.2022
1466,48446,28484,36.783,483.41,314.4,0.21184
1470,46674,28798,22.57,938.35,301.68,0.51343
1474,47931,28657,32.862,848.39,571.62,0.19491
1477,47288,27733,26.459,758.22,446.7,0.25854
1477,47603,29552,33.299,349.32,174.77,0.33304
1479,47580,27008,27.692,619.38,245.43,0.43241
1488,49154,28178,24.08,1850.2,440.26,0.61558
1489,48983,28010,38.165,1259.9,213.93,0.70968
1491,48755,28417,36.346,333.79,312.67,0.032671
1492,49619,29960,29.688,1233.3,498.21,0.42453
1493,49476,28222,32.067,340.17,191.45,0.27975
1495,47374,28234,34.459,590.66,172.12,0.54871
1497,49229,29872,35.169,819.12,502.81,0.23928
1511,47295,29808,34.783,332.49,189.14,0.27482
1513,47088,28868,32.897,671.67,408.18,0.24401
1515,49100,29966,29.895,863.66,540.12,0.23047
1529,47867,27233,37.934,468.33,276.4,0.25771
1530,47031,28856,30.407,251.61,148.2,0.25866
1532,47488,28682,30.491,496.45,294.06,0.25602
1532,49276,27841,34.685,645.12,230.17,0.47406
1533,47047,28898,34.145,662.82,260.97,0.435
1534,49417,27608,31.437,870.39,1065.3,-0.10068
1536,47410,28559,23.011,736.92,323.3,0.39012
1543,46800,27509,30.725,800.94,898.77,-0.057558
1547,48083,29417,28.766,1161.9,458.08,0.43445
1549,48247,28852,37.381,448.35,487.04,-0.041363
1550,48362,28800,36.689,540.37,349.74,0.21417
1551,48281,28882,37.887,689.71,415.68,0.24791
1551,49360,28316,36.292,536.48,481.09,0.054437
1553,48168,29182,24.367,1516.1,1045.5,0.18371
1555,47834,29033,33.534,320.37,114.94,0.47192
1581,47912,28832,23.312,354.73,139.14,0.43652
1590,49418,27460,32.022,405.68,250.98,0.2356
1593,47660,27841,27.052,238.89,193.55,0.10484
1596,49506,29883,25.313,669.08,489.93,0.15457
1598,48546,29031,28.953,342.32,150.26,0.38992
1602,49213,27847,37.888,211.39,152.39,0.16219
1604,48925,27662,34.121,400.74,119.11,0.54176
1606,46640,27723,25.317,407.65,313.29,0.13088
1615,49501,28279,36.177,514.69,245.24,0.35456
1619,47478,29192,33.593,445.64,330.38,0.14853
1621,47024,27177,34.308,393,376.05,0.022048
